Fold,Accuracy,Precision,Recall,F1-Score,AUC-ROC,N_Hidden,PSO_Fitness
1,0.7097232079489,0.47303543913713403,0.820855614973262,0.6001955034213099,0.8373685706166524,26,0.788909426987061
2,0.7040454222853088,0.4678624813153961,0.8368983957219251,0.6001917545541706,0.8233020744529695,30,0.7765759045132413
3,0.7366926898509581,0.5023696682464455,0.8502673796791443,0.631578947368421,0.8515022346224391,21,0.7853712596970817
4,0.703125,0.4655436447166922,0.8150134048257373,0.5925925925925926,0.8017355040084962,28,0.8139281828073993
5,0.6875,0.45132743362831856,0.8181818181818182,0.5817490494296578,0.8121179366770447,18,0.8032246244045438
